,iteration,index_size,count,search_first_page,search_first_page_specific_10,search_first_page_specific_100,search_first_page_specific_1000,search_first_page_specific_10000
0,0,9100000,0.003605355000217969,0.00860682300026383,0.014303026000106911,0.0141781809998065,0.03077843400023994,0.19406631399988328
1,1,9200000,0.003424605999953201,0.004826839999623189,0.009774125999683747,0.011775596999996196,0.02592953400016995,0.13982500100019024
2,2,9300000,0.0066852219997599605,0.0034522669998295896,0.010785686999952304,0.012244748999819421,0.024412062000010337,0.14421431899972958
3,3,9400000,0.0033731180001268513,0.00588200299989694,0.012078606000159198,0.013397154000358569,0.020649132000016834,0.13528673300015726
4,4,9500000,0.0033255490002375154,0.00404906799985838,0.014866375000110565,0.011425369000335195,0.02643631599994478,0.1408659560001979
5,5,9600000,0.0035844159997395764,0.0071859340000628436,0.008534094999959052,0.013716484000269702,0.025950503000331082,0.17717248799999652
6,6,9700000,0.0058519469998827844,0.006122584999957326,0.015784140000050684,0.01141796499996417,0.030275570999947377,0.20193344600011187
7,7,9800000,0.0033361880000484234,0.003759093000098801,0.014706926000144449,0.010993136999786657,0.02650863200005915,0.136713213999883
8,8,9900000,0.003440195000166568,0.004434453000158101,0.013984416999846871,0.008692504000009649,0.021895263000260456,0.1482689979998213
9,9,10000000,0.006809014000282332,0.009104728999773215,0.010651735000010376,0.01307281499975943,0.026496859999951994,0.1413112129998808
10,10,10100000,0.0037047609998808184,0.0037215130000731733,0.009531539999898087,0.00988393299985546,0.03294548600024427,0.18263452299970595
11,11,10200000,0.00336596399984046,0.0039153869997790025,0.013195954999901005,0.009116800000356307,0.024028891999932966,0.15456241299989415
12,12,10300000,0.0035672340000019176,0.003234717999930581,0.010429437000311736,0.01798325300023862,0.02597694300038711,0.14636017099974197
13,13,10400000,0.0034397230001559365,0.0037993690002622316,0.013466395000250486,0.010422654999729275,0.024686837999979616,0.13656680900021456
14,14,10500000,0.003672461999940424,0.006099800999891158,0.010227497999949264,0.020848626000315562,0.04065095499981908,0.18212747000006857
15,15,10600000,0.003684853999857296,0.004104681999706372,0.012710324000181572,0.009339277999970363,0.03498885599992718,0.1850569249995715
16,16,10700000,0.0037922760002402356,0.0045444989996212826,0.00974695500008238,0.013682560000233934,0.025777517999813426,0.21361978699997053
17,17,10800000,0.0038360970002031536,0.008361170999705791,0.007999982000001182,0.012262823000128265,0.02735738699993817,0.14515675900020142
18,18,10900000,0.0033608550002099946,0.015544369000053848,0.010692009999729635,0.01129308999998102,0.02382240399992952,0.15562290699972436
19,19,11000000,0.003618178999658994,0.003980259999934788,0.015651158999844483,0.010745340999619657,0.02473305600005915,0.20363671599989175
20,20,11100000,0.003391603000181931,0.0037812559999110817,0.01450375400008852,0.009463702999710222,0.022085611000420613,0.147273997999946
21,21,11200000,0.003407312000035745,0.003458730000147625,0.01907976199981931,0.01950623299990184,0.020679727999777242,0.1405981640000391
22,22,11300000,0.003409896999983175,0.0054957560000730155,0.01000207400011277,0.009399782999935269,0.029099600999870745,0.14506743099991581
23,23,11400000,0.006887772000027326,0.0035583970002335263,0.013113911999880656,0.016934971999944537,0.026928679999855376,0.21943700800011356
