filename,filesize,lines,start,end
./aws-open-data/czb-opencell.csv,2461558,12603,15:05:41.033054941,15:05:41.073325667
./aws-open-data/civic-aws-opendata.csv,5932,38,15:05:41.079198577,15:05:41.112038070
./aws-open-data/aws-open-data-uniprot-rdf.csv,559069,3163,15:05:41.146093129,15:05:41.175842146
./aws-open-data/gatk-sv-data-us-east-1.csv,1508590,6998,15:05:41.186561118,15:05:41.222022321
./aws-open-data/gdc-beataml1-cohort-phs001657-2-open.csv,550290,2550,15:05:41.231023810,15:05:41.259512787
./aws-open-data/noaa-ufs-prototypes-pds.csv,139571411,768998,15:05:41.616599591,15:05:42.472805319
./aws-open-data/arpa-e-perform.csv,4537081,23572,15:05:42.494619802,15:05:42.547547387
./aws-open-data/gdc-ccle-2-open.csv,1108318,6365,15:05:42.569798675,15:05:42.621174520
./aws-open-data/pacific-sound-256khz-2021.csv,7089611,50281,15:05:42.703590089,15:05:43.087605985
./aws-open-data/human-pangenomics.csv,42773736,177795,15:05:43.328425164,15:05:44.115846995
./aws-open-data/noaa-normals-pds.csv,21675509,148921,15:05:44.177933100,15:05:44.346170335
./aws-open-data/ford-multi-av-seasonal.csv,44246,278,15:05:44.352612229,15:05:44.377742892
./aws-open-data/pacific-sound-256khz-2018.csv,7312747,51786,15:05:44.404579987,15:05:44.486734316
./aws-open-data/noaa-cdr-precip-persiann-pds.csv,2321348,14248,15:05:44.499688577,15:05:44.539369855
./aws-open-data/noaa-eri-pds.csv,27494541,178168,15:05:44.618410584,15:05:44.828976507
./aws-open-data/intelinair-data-releases.csv,9435948,51546,15:05:44.950133984,15:05:45.199661909
./aws-open-data/gdelt-open-data.csv,57666873,432832,15:05:45.352155068,15:05:45.803686549
./aws-open-data/ai2-public-datasets.csv,10753,77,15:05:45.811877595,15:05:45.846307697
./aws-open-data/gdc-cptac-phs001287-2-open.csv,3684151,17354,15:05:45.869307665,15:05:45.920620575
./aws-open-data/stoic2021-training.csv,247589,2003,15:05:45.927600435,15:05:45.954753005
./aws-open-data/fashionlocaltriplets.csv,495875,4246,15:05:45.964509648,15:05:45.992749491
./aws-open-data/noaa-swdi-pds.csv,57788,506,15:05:45.999159464,15:05:46.024199695
./aws-open-data/daylight-openstreetmap.csv,199754,900,15:05:46.032855239,15:05:46.061648205
./aws-open-data/archive-orcasound-net.csv,422299,2442,15:05:46.069370646,15:05:46.107408759
./aws-open-data/srsp-open-data.csv,7193104,45085,15:05:46.143088499,15:05:46.215587941
./aws-open-data/4dn-open-data-public.csv,9481566,50015,15:05:46.250261311,15:05:46.339579790
./aws-open-data/napierone.com.csv,101300,729,15:05:46.346738246,15:05:46.371938648
./aws-open-data/fmi-opendata-silam-surface-netcdf.csv,218202,1281,15:05:46.379446605,15:05:46.405313176
./aws-open-data/amazon-berkeley-objects.csv,194739130,1391747,15:05:46.917206233,15:05:48.390099803
./aws-open-data/bdc-cbers.csv,14337550,89577,15:05:48.433781840,15:05:48.554985033
./aws-open-data/opencitymodel.csv,11031871,57635,15:05:48.590682495,15:05:48.679744203
./aws-open-data/dmspssj.csv,786688,4318,15:05:48.688748373,15:05:48.719516967
./aws-open-data/pacific-sound-models.csv,1274,8,15:05:48.725724788,15:05:48.750221931
./aws-open-data/sentinel-1-global-coherence-earthbigdata.csv,173222636,1034377,15:05:49.204459951,15:05:50.411515466
./aws-open-data/rapid-nrt-flood-maps.csv,60913868,332676,15:05:50.599968030,15:05:52.151000512
./aws-open-data/gleif.csv,7374330,42324,15:05:52.316764367,15:05:52.653062793
./aws-open-data/fast-ai-nlp.csv,1421,12,15:05:52.659268479,15:05:52.684107884
./aws-open-data/fmi-opendata-rcrhirlam-surface-grib.csv,28562730,140668,15:05:52.763174777,15:05:52.955943496
./aws-open-data/noaa-cdr-microwave-imager-brit-temp-csu-pds.csv,240282711,1213549,15:05:53.591319424,15:05:55.149656473
./aws-open-data/noaa-cdr-microwave-humidity-sounder-brit-temp-pds.csv,61730617,310693,15:05:55.328491515,15:05:55.766319895
./aws-open-data/noaa-ofs-pds.csv,46224816,303712,15:05:55.881940490,15:05:56.207388366
./aws-open-data/1000genomes.csv,86148617,477714,15:05:56.439878983,15:05:56.977797257
./aws-open-data/epa-rsei-pds.csv,267275,1730,15:05:56.985917336,15:05:57.013986854
./aws-open-data/gdc-fm-ad-phs001179-2-open.csv,30858,168,15:05:57.020088553,15:05:57.044655289
./aws-open-data/greenwichhr-covidjobimpacts.csv,1110,8,15:05:57.050474444,15:05:57.081978306
./aws-open-data/pacific-sound-2khz.csv,350012,2414,15:05:57.092278561,15:05:57.119954617
./aws-open-data/noaa-rtma-pds.csv,159266032,1098910,15:05:57.531721417,15:05:58.693223266
./aws-open-data/physionet-pds.csv,836,8,15:05:58.708308432,15:05:58.736267211
./aws-open-data/noaa-cdr-sea-surface-temp-whoi-pds.csv,2208214,12274,15:05:58.748437145,15:05:58.798372048
./aws-open-data/noaa-cdr-leaf-area-index-fapar-pds.csv,2809667,14933,15:05:58.815897742,15:05:58.914129667
./aws-open-data/sentinel-s2-l2a-mosaic-120.csv,58896536,441880,15:05:59.245844116,15:06:01.159295747
./aws-open-data/noaa-cdr-mean-layer-temp-lower-strat-pds.csv,1654,10,15:06:01.165848005,15:06:01.191082388
./aws-open-data/janelia-cosem-networks.csv,244175,1593,15:06:01.197913814,15:06:01.224559531
./aws-open-data/noaa-cdr-solar-spectral-irradiance-pds.csv,56032,307,15:06:01.231963837,15:06:01.256659583
./aws-open-data/pacific-sound-256khz-2019.csv,7141632,50650,15:06:01.280992074,15:06:01.360415264
./aws-open-data/noaa-nwm-pds.csv,146512183,841435,15:06:01.768275759,15:06:02.749552881
./aws-open-data/mwapublic.csv,95529771,685069,15:06:03.055113261,15:06:03.745186047
./aws-open-data/amazon-humor-patterns.csv,121,1,15:06:03.751694141,15:06:03.776869431
./aws-open-data/pre-post-purchase-questions.csv,252,2,15:06:03.783005953,15:06:03.807170776
./aws-open-data/noaa-cdr-total-solar-irradiance-pds.csv,54535,307,15:06:03.813977704,15:06:03.847944168
./aws-open-data/noaa-ghcn-pds.csv,60142,536,15:06:03.854475345,15:06:03.879489271
./aws-open-data/noaa-oar-keo-papa-pds.csv,3039,21,15:06:03.885651902,15:06:03.911220054
./aws-open-data/noaa-cdr-precip-nexrad-qpe-pds.csv,1312,9,15:06:03.917586030,15:06:03.941794665
./aws-open-data/nasa-iserv.csv,91339885,519774,15:06:04.179400641,15:06:04.777446359
./aws-open-data/deafrica-landsat-inventory.csv,1549249,7838,15:06:04.791030419,15:06:04.829760583
./aws-open-data/genomics-benchmark-datasets.csv,98341,491,15:06:04.836548795,15:06:04.863097818
./aws-open-data/gatk-test-data.csv,115382,656,15:06:04.869359166,15:06:04.894829371
./aws-open-data/avg-kitti.csv,298335,2124,15:06:04.903156539,15:06:04.933074439
./aws-open-data/threatenedspecies.csv,1808,12,15:06:04.949944972,15:06:05.031028598
./aws-open-data/cwbopendata.csv,129676,1139,15:06:05.210003068,15:06:05.375372158
./aws-open-data/lab41openaudiocorpus.csv,640,5,15:06:05.452346996,15:06:05.572114194
./aws-open-data/wrf-se-ak-ar5.csv,29251903,207336,15:06:05.764859376,15:06:06.393754507
./aws-open-data/noaa-ocs-nationalbathymetry-pds.csv,618181,3633,15:06:06.402224885,15:06:06.431403427
./aws-open-data/gdc-cgci-blgsp-phs000235-2-open.csv,282103,1346,15:06:06.439062483,15:06:06.466472588
./aws-open-data/afsis.csv,4948716,33093,15:06:06.485821468,15:06:06.543388543
./aws-open-data/noaa-cdr-ocean-heat-content-pds.csv,125788,778,15:06:06.550376712,15:06:06.576603154
./aws-open-data/humor-detection-pds.csv,478,4,15:06:06.582476599,15:06:06.606383041
./aws-open-data/sra-pub-metadata-us-east-1.csv,290708,1693,15:06:06.614017330,15:06:06.659459720
./aws-open-data/aev-autonomous-driving-dataset.csv,8523,53,15:06:06.665408127,15:06:06.691124275
./aws-open-data/spatial-ucr.csv,166508,1140,15:06:06.699250393,15:06:06.724679098
./aws-open-data/noaa-ufs-rnrmarine-pds.csv,28775,187,15:06:06.730821140,15:06:06.755439837
./aws-open-data/wrf-ak-ar5.csv,2630208,15308,15:06:06.768119980,15:06:06.813830225
./aws-open-data/noaa-cdr-radiances-and-cloud-properties-polar-orbiter-nasa-pds.csv,80093187,342540,15:06:07.066912100,15:06:07.565745692
./aws-open-data/aws-earth-mo-atmospheric-ukv-prd.csv,92560702,584185,15:06:07.805740048,15:06:08.564449150
./aws-open-data/noaa-cdr-precip-gpcp-daily-pds.csv,1514488,9292,15:06:08.577602235,15:06:08.616402215
